what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357954352697
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1357954479320
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1357954479522
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1357954479692
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1357954480006
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1357954480295
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1357954482847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357954498991
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1357954500363
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1357954500728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357954521269
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1357954522156
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1357954522945
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357954533287
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1357954538172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357954564207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357954580931
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357954580958
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1357954588995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357954697513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357954748000
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357954756481
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357954764828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357954786847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357954798243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357954807497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357954807594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357954808749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357954825839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357957128839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357957150743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357957603595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357957607384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357957638762
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357957638810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357957648982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357957701121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1357957701132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1357957701132
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357957705083
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357957705214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357957712869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357957713014
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357957714541
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357957714752
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357957714922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357957722566
